"","location_key","date","place_id","wikidata_id","country_code","country_name","subregion1_code","subregion1_name","iso_3166_1_alpha_2","iso_3166_1_alpha_3","aggregation_level","new_confirmed","new_deceased","cumulative_confirmed","cumulative_deceased","population","population_male","population_female","population_age_00_09","population_age_10_19","population_age_20_29","population_age_30_39","population_age_40_49","population_age_50_59","population_age_60_69","population_age_70_79","population_age_80_and_older","openstreetmap_id","latitude","longitude","elevation_m","area_sq_km","mobility_retail_and_recreation","mobility_grocery_and_pharmacy","mobility_parks","mobility_transit_stations","mobility_workplaces","mobility_residential","average_temperature_celsius","minimum_temperature_celsius","maximum_temperature_celsius","rainfall_mm","dew_point","relative_humidity","new_tested","cumulative_tested"
"15","ZA_EC",2020-01-15,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,25.012346,17.006173,32.243056,0.141111,14.765432,53.774484,NA,NA
"16","ZA_EC",2020-01-16,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,26.055556,17.188889,34.872222,0,13.022222,46.114687,NA,NA
"17","ZA_EC",2020-01-17,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,24.672222,17.133333,35.277778,0,15.633333,58.296263,NA,NA
"18","ZA_EC",2020-01-18,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,18.072222,15.472222,26.983333,8.128,15.644444,86.052291,NA,NA
"19","ZA_EC",2020-01-19,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,16.172222,13.677778,21.972222,4.8768,12.905556,81.667599,NA,NA
"20","ZA_EC",2020-01-20,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,17.161111,12.894444,23.388889,3.2766,13,77.244619,NA,NA
"21","ZA_EC",2020-01-21,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,18.972222,14.111111,25.855556,1.778,14.138889,74.032742,NA,NA
"22","ZA_EC",2020-01-22,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,19.083333,14.061111,26.527778,2.4384,14.088889,73.744143,NA,NA
"23","ZA_EC",2020-01-23,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,17.072222,13.383333,25.277778,7.8994,12.972222,77.893292,NA,NA
"24","ZA_EC",2020-01-24,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,19.538889,14.083333,28.766667,2.0828,13.933333,70.326059,NA,NA
"25","ZA_EC",2020-01-25,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,22.083333,15.894444,29.777778,7.2136,13.711111,59.443079,NA,NA
"26","ZA_EC",2020-01-26,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,19.338889,12.872222,29.833333,0.0762,11.7,61.849945,NA,NA
